id,module,level,strand,substrand,year,type,text,answer,hint,options,params
q_1764432329881_0,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 1 + 9 = __,10,What number goes with 9 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_1,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 5 + 5 = __,10,What number goes with 5 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_2,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 5 + 5 = __,10,What number goes with 5 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_3,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 2 + 8 = __,10,What number goes with 8 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_4,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 0 + 10 = __,10,What number goes with 10 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_5,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 5 + 5 = __,10,What number goes with 5 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_6,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 8 + 2 = __,10,What number goes with 2 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_7,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 1 + 9 = __,10,What number goes with 9 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_8,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 10 + 0 = __,10,What number goes with 0 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_9,C01_Y1_CALC,1,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 0 + 10 = __,10,What number goes with 10 to make 10?,,"{""description"":""Beginning - Number bonds to 10 only, addition format, missing addend at end position"",""math"":{""targets"":[10],""range"":{""min"":0,""max"":10},""operations"":[""addition""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""styles"":[""equation""],""contexts"":[""abstract""],""visualType"":""part_whole""}}"
q_1764432329881_10,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 10 - __ = 1,9,What is 10 take away 10?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329881_11,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 10 - __ = 4,6,What is 10 take away 10?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329881_12,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 10 - __ = 6,4,What is 10 take away 10?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329881_13,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 20 - __ = 17,3,What is 20 take away 20?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329881_14,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 3 + 7 = __,10,What number goes with 7 to make 10?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329882_15,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Tom has 10 marbles. He gives 8 away. How many does he have left?,2,10 - 8 = ?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329882_16,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 7 + __ = 10,3,What number goes with 7 to make 10?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329882_17,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Complete the number bond: 20 - __ = 3,17,What is 20 take away 20?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
q_1764432329882_18,C01_Y1_CALC,2,Calculation,Mental addition and subtraction,1,text_input,Tom has 10 marbles. He gives 6 away. How many does he have left?,4,10 - 6 = ?,,"{""description"":""Developing - Bonds to 10 and 20, addition and subtraction, missing number at end or middle"",""math"":{""targets"":[10,20],""range"":{""min"":0,""max"":20},""operations"":[""addition"",""subtraction""],""factFamilies"":false},""presentation"":{""gaps"":{""position"":""end_or_middle"",""count"":1},""styles"":[""equation"",""word_problem""],""contexts"":[""abstract"",""objects""],""visualType"":""part_whole""}}"
