id,module,level,strand,substrand,year,type,text,answer,hint,options,params
q_1764328650322_0,N01_Y1_NPV,1,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, 2, __",4,The pattern counts forwards in 2s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 5, or 10, up to 30. Shortest sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":30},""sequence"":{""steps"":[2,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_1,N01_Y1_NPV,1,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, 5, __",10,The pattern counts forwards in 5s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 5, or 10, up to 30. Shortest sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":30},""sequence"":{""steps"":[2,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_2,N01_Y1_NPV,1,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, 5, __",10,The pattern counts forwards in 5s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 5, or 10, up to 30. Shortest sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":30},""sequence"":{""steps"":[2,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_3,N01_Y1_NPV,1,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, 2, __",4,The pattern counts forwards in 2s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 5, or 10, up to 30. Shortest sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":30},""sequence"":{""steps"":[2,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_4,N01_Y1_NPV,1,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, 2, __",4,The pattern counts forwards in 2s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 5, or 10, up to 30. Shortest sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":30},""sequence"":{""steps"":[2,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_5,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 5, 7",3,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_6,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, __, 4, 6",2,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_7,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, __, 4, 6",2,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_8,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, __, 4, 6",2,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328650323_9,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 5, 7",3,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
